2643743	London	51.50853	-0.12574	7556900	Londe	Ingeland	Vereineg Keuninkriek+http://en.wikipedia.org/wiki/United_Kingdom
614622	Gagra	43.27858	40.27124	8266	Gagra		Georgië
255274	Piraeus	37.94745	23.63708	163688	Pireas		Griekeland+Griekanmua
3054643	Budapest	47.49801	19.03991	1741041	Boedapes		Hongarieë
281184	Jerusalem	31.76904	35.21633	801000	Jeruzalem		Israël
295530	Beersheba	31.25181	34.7913	186600	Beer Sjeva	HaDarom	Israël
1275339	Mumbai	19.07283	72.88261	12691836	Bombay	MH+Mahārāshtra	India
3164603	Venice	45.43713	12.33265	51298	Venies		Italië
3169070	Rome	41.89193	12.51133	2318895	Roeme	Lazio	Italië
3176959	Florence	43.77925	11.24626	349296	Florence		Italië
1850147	Tokyo	35.6895	139.69171	8336599	Tokio		Japan
2960316	Luxembourg	49.61167	6.13	76684	Luxembörg		Luxembörg
1821274	Macau	22.20056	113.54611	520400	Makau		
2743477	Zwolle	52.5125	6.09444	111805	Zwolle	ov+Overijssel	Nederland
2743493	Zwijndrecht	51.8175	4.63333	45696	Zwijndrecht	Zuud-Holland+zh+Zuid-Holland	Nederland
2743608	Zutphen	52.13833	6.20139	36188	Zutfen	GLD+gd+Gelderland	Nederland
2743856	Zoetermeer	52.0575	4.49306	115845	Zeutermaer+Zoetermeer	Zuud-Holland+zh+Zuid-Holland	Nederland
2743977	Zeist	52.09	5.23333	60949	Zeist	ut+Utrecht	Nederland
2744042	Zandvoort	52.37125	4.53306	16868	Zandvoort	nh+Nord-Holland+Noord-Holland	Nederland
2744114	Zaanstad	52.45313	4.81356	140085	Zaanstad	nh+Nord-Holland+Noord-Holland	Nederland
2744156	Woudrichem	51.815	5.00139	14208	Woudrichem	Noord-Braobant+nb+Noord-Brabant	Nederland
2744248	Woerden	52.085	4.88333	48431	Woerden	ut+Utrecht	Nederland
2744257	Woensdrecht	51.42897	4.30355	1340	Woensdrecht	Noord-Braobant+nb+Noord-Brabant	Nederland
2744477	Wijlre	50.83333	5.89583	1960	Wielder	lb	Nederland
2744514	Wijchen	51.80917	5.725	32693	Wijchen	GLD+gd+Gelderland	Nederland
2744815	Wessem	51.15954	5.88146	2050	Wèssem	lb	Nederland
2744827	Werkendam	51.81	4.89444	26362	Werkendam	Noord-Braobant+nb+Noord-Brabant	Nederland
2744904	Weesp	52.3075	5.04167	17802	Weesp	nh+Nord-Holland+Noord-Holland	Nederland
2744911	Weert	51.25167	5.70694	48662	Wieërt	lb	Nederland
2745123	Waalwijk	51.6825	5.07083	45610	Waalwijk	Noord-Braobant+nb+Noord-Brabant	Nederland
2745127	Waalre	51.38667	5.44444	6445	Waalre	Noord-Braobant+nb+Noord-Brabant	Nederland
2745392	Vlissingen	51.4425	3.57361	45273	Vlissinge+Vlissingen	zl+Zeeland	Nederland
2745467	Vlaardingen	51.9125	4.34167	73798	Vlaardinge	Zuud-Holland+zh+Zuid-Holland	Nederland
2745641	Venlo	51.37	6.16806	92403	Venlo	lb	Nederland
2745673	Velsen-Zuid	52.46	4.65	67758	Velsen	nh+Nord-Holland+Noord-Holland	Nederland
2745726	Veghel	51.61667	5.54861	25352	Veghel	Noord-Braobant+nb+Noord-Brabant	Nederland
2745774	Veenendaal	52.02863	5.55891	61271	Veenendaal	ut+Utrecht	Nederland
2745860	Valkenswaard	51.35083	5.45972	31071	Valkeswaerd	Noord-Braobant+nb+Noord-Brabant	Nederland
2745906	Vaals	50.77083	6.01806	6970	Vols	lb	Nederland
2745912	Utrecht	52.09083	5.12222	290529	Utrei+Utrech	ut+Utrecht	Nederland
2745926	Urmond	50.99083	5.77222	3560	Uermend+Werment	lb	Nederland
2745932	Urk	52.6625	5.60139	17345	Urk	fl+Flevoland	Nederland
2745978	Uitgeest	52.52917	4.70972	11794	Uitgeest	nh+Nord-Holland+Noord-Holland	Nederland
2746005	Uden	51.66083	5.61944	34601	Uden	Noord-Braobant+nb+Noord-Brabant	Nederland
2746014	Ubachsberg	50.85333	5.94861	1420	De Berg	lb	Nederland
2746301	Tilburg	51.55551	5.0913	199613	Tilburg	Noord-Braobant+nb+Noord-Brabant	Nederland
2746342	Thorn	51.16167	5.84167	2295	Toear	lb	Nederland
2746351	Tholen	51.53167	4.22083	7475	Tholen	zl+Zeeland	Nederland
2746420	Terneuzen	51.33583	3.82778	27930	Terneuze+Terneuzen	zl+Zeeland	Nederland
2746504	Tegelen	51.34417	6.13611	20190	Tegele	lb	Nederland
2746804	Steenbergen	51.58417	4.31944	23582	Steenbergen	Noord-Braobant+nb+Noord-Brabant	Nederland
2746932	Spijkenisse	51.845	4.32917	74988	Spijkenisse	Zuud-Holland+zh+Zuid-Holland	Nederland
2746964	Spaubeek	50.94	5.84306	3360	Sjpawbik+Spaubeek	lb	Nederland
2747010	Son	51.51136	5.49282	4930	Son	Noord-Braobant+nb+Noord-Brabant	Nederland
2747021	Someren	51.385	5.71111	10690	Zomere	Noord-Braobant+nb+Noord-Brabant	Nederland
2747063	Sneek	53.03297	5.6589	32811	Sneek	fr	Nederland
2747203	Sittard	50.99833	5.86944	48400	Zittert	lb	Nederland
2747227	Sint-Oedenrode	51.5675	5.45972	16931	Sint-Oedenrode	Noord-Braobant+nb+Noord-Brabant	Nederland
2747229	Sint Odiliënberg	51.14333	6	2810	Berg	lb	Nederland
2747290	Sint Anthonis	51.62667	5.88194	3340	Sintunnis	Noord-Braobant+nb+Noord-Brabant	Nederland
2747312	Simpelveld	50.83417	5.98194	2405	Zumpelveld	lb	Nederland
2747373	The Hague	52.07667	4.29861	474292	D'n Haog	Zuud-Holland+zh+Zuid-Holland	Nederland
2747382	Sevenum	51.4125	6.0375	5035	Zaerem	lb	Nederland
2747550	Schinveld	50.96917	5.97917	4685	Sjilvend	lb	Nederland
2747561	Schimmert	50.90667	5.82361	2310	Sjömmert	lb	Nederland
2747584	Schijndel	51.6225	5.43194	23239	Schijndel	Noord-Braobant+nb+Noord-Brabant	Nederland
2747596	Schiedam	51.91917	4.38889	75438	Schiedam	Zuud-Holland+zh+Zuid-Holland	Nederland
2747599	Scheveningen	52.10461	4.27557	23000	Sjeveninge	Zuud-Holland+zh+Zuid-Holland	Nederland
2747720	Schagen	52.7875	4.79861	5910	Schagen	nh+Nord-Holland+Noord-Holland	Nederland
2747891	Rotterdam	51.9225	4.47917	598199	Rotterdam	Zuud-Holland+zh+Zuid-Holland	Nederland
2747930	Roosendaal	51.53083	4.46528	77725	Roosendaal	Noord-Braobant+nb+Noord-Brabant	Nederland
2748000	Roermond	51.19417	5.9875	44975	Remunj	lb	Nederland
2748236	Renkum	51.97667	5.73333	9421	Renkum	GLD+gd+Gelderland	Nederland
2748413	Purmerend	52.505	4.95972	76745	Purmerend	nh+Nord-Holland+Noord-Holland	Nederland
2749234	Oss	51.765	5.51806	76430	Oss	Noord-Braobant+nb+Noord-Brabant	Nederland
2749286	Opmeer	52.70667	4.94444	11183	Opmeer	nh+Nord-Holland+Noord-Holland	Nederland
2749450	Oosterhout	51.645	4.85972	53107	Oosterhout	Noord-Braobant+nb+Noord-Brabant	Nederland
2749680	Oisterwijk	51.57917	5.18889	25980	Oisterwijk	Noord-Braobant+nb+Noord-Brabant	Nederland
2749683	Oirschot	51.505	5.31389	10393	Oirschot	Noord-Braobant+nb+Noord-Brabant	Nederland
