2392087	Porto-Novo	6.49646	2.60359	234168	Porto Novo	Quémé	Benin
3345093	Looe	50.35778	-4.45418	5112	Logh	Pow Sows	Rywvaneth Unys+http://en.wikipedia.org/wiki/United_Kingdom
6943072	St Mary's	49.91719	-6.29517	1666	Ennor	Pow Sows	Rywvaneth Unys+http://en.wikipedia.org/wiki/United_Kingdom
8299848	Tintagel	50.66317	-4.75047	1028	Dyntagell+Tre war Venydh	Pow Sows	Rywvaneth Unys+http://en.wikipedia.org/wiki/United_Kingdom
8299858	Isles of Scilly	49.92515	-6.29894	2100	Syllan+Enesek Syllan	Pow Sows	Rywvaneth Unys+http://en.wikipedia.org/wiki/United_Kingdom
3186886	Zagreb	45.81444	15.97798	698966	Zagreb	Grad Zagreb	Kroati
3054643	Budapest	47.49801	19.03991	1741041	Budapest		Hungari
2964574	Dublin	53.33306	-6.24889	1024027	Dulyn		Repoblek Iwerdhon+Ire
1277333	Bengaluru	12.97194	77.59369	5104047	Bengalour	KA+Karnātaka	Eynda
3169070	Rome	41.89193	12.51133	2318895	Rom	Lazio	Itali
3176959	Florence	43.77925	11.24626	349296	Florens	Toscana	Itali
456172	Riga	56.946	24.10589	742572	Rīga	Riga	Latvi
3143244	Oslo	59.91273	10.74609	580000	Oslo	Oslo	Norgagh
2186239	New Plymouth	-39.06667	174.08333	49168	Aberplymm Nowydh		Mordir Nowydh
766980	Kurów	51.38941	22.18637	2804	Kurów	Lubelskie	Poloni
3370726	Edinburgh of the Seven Seas	-37.06757	-12.31155	271	Karedin an Seyth Moryow		
170654	Damascus	33.5102	36.29128	1569394	Damask		Syri
4801859	Charleston	38.34982	-81.63262	49736	Charleston	Vyrjynia West+WV+West Virginia	Statys Unys+U.S.+USA+U.S.A.
5128581	New York City	40.71427	-74.00597	8175133	Evrek Nowydh+NYC+NY	Stat Evrek Nowydh+NY	Statys Unys+U.S.+USA+U.S.A.
5368335	Los Altos	37.38522	-122.11413	30671	Los Altos	Kaliforni+CA+Calif+California	Statys Unys+U.S.+USA+U.S.A.
5368361	Los Angeles	34.05223	-118.24368	3971883	Los Angeles	Kaliforni+CA+Calif+California	Statys Unys+U.S.+USA+U.S.A.
786714	Pristina	42.67272	21.16688	550000	Prishtina		
